CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
12629011234004	Humboldt	Klamath-Trinity Joint Unified	Hoopa Valley High	0	0	0	0	0	0	0	0	0	0	1415
12629271230150	Humboldt	Loleta Union Elementary	Pacific View Charter	0	0	0	0	0	0	0	0	0	0	1415
12630320111203	Humboldt	South Bay Union Elementary	Alder Grove Charter	2	1	0	0	0	1	9	3	0	16	1415
12630401237007	Humboldt	Southern Humboldt Joint Unified	South Fork Junior - Senior High	0	2	0	0	0	0	13	0	0	15	1415
12753741232909	Humboldt	Ferndale Unified	Ferndale High	2	0	0	0	0	0	12	0	0	14	1415
12753821230085	Humboldt	Mattole Unified	Mattole Triple Junction High	0	0	0	0	0	0	1	0	0	1	1415
12753821230135	Humboldt	Mattole Unified	Mattole Valley Charter (#159)	0	0	0	0	0	0	2	0	0	2	1415
12755150000000	Humboldt	Eureka City Schools	District Office	0	0	0	0	0	0	0	0	0	0	1415
12755151232057	Humboldt	Eureka City Schools	Zoe Barnum High	0	0	0	0	0	0	0	0	0	0	1415
12755151232206	Humboldt	Eureka City Schools	Eureka Senior High	8	4	11	0	1	2	54	1	0	81	1415
13101320131094	Imperial	Imperial County Office of Education	Valley Academy	0	0	0	0	0	0	0	0	0	0	1415
13101321330117	Imperial	Imperial County Office of Education	Imperial County Juvenile Hall/Community	0	0	0	0	0	0	0	0	0	0	1415
13630811331354	Imperial	Brawley Union High	Desert Valley High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
13630811331404	Imperial	Brawley Union High	Brawley High	90	0	4	0	1	0	20	2	0	117	1415
13630991332154	Imperial	Calexico Unified	Aurora High (Continuation)	1	0	0	0	0	0	0	0	0	1	1415
13630991332204	Imperial	Calexico Unified	Calexico High	171	0	4	0	0	0	2	0	0	177	1415
13631071332501	Imperial	Calipatria Unified	Calipatria High	17	0	1	0	0	0	0	0	0	18	1415
13631151330133	Imperial	Central Union High	Southwest High	120	0	12	1	0	0	14	0	0	147	1415
13631151333004	Imperial	Central Union High	Central Union High	90	0	1	0	0	2	5	1	0	99	1415
13631151333558	Imperial	Central Union High	Desert Oasis High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
13631491335306	Imperial	Holtville Unified	Holtville High	59	0	0	0	0	0	11	0	0	70	1415
13631491337138	Imperial	Holtville Unified	Sam Webb Continuation	0	0	0	0	0	0	0	0	0	0	1415
13631641331115	Imperial	Imperial Unified	Imperial Ave. Holbrook High	0	0	0	0	0	0	0	0	0	0	1415
13631641335900	Imperial	Imperial Unified	Imperial High	59	0	4	0	2	2	16	0	0	83	1415
13632141330018	Imperial	San Pasqual Valley Unified	Bill M. Manes High	0	0	0	0	0	0	0	0	0	0	1415
13632141337609	Imperial	San Pasqual Valley Unified	San Pasqual Valley High	0	0	0	0	0	0	0	0	0	0	1415
14101400117994	Inyo	Inyo County Office of Education	YouthBuild Charter School of California	0	0	0	0	0	0	0	0	0	0	1415
14101400121301	Inyo	Inyo County Office of Education	YouthBuild Charter School of California Central	0	0	0	0	0	0	0	0	0	0	1415
14101400128447	Inyo	Inyo County Office of Education	The Education Corps	3	0	0	0	0	1	0	0	0	4	1415
14101400128454	Inyo	Inyo County Office of Education	College Bridge Academy	33	0	0	0	0	1	1	0	0	35	1415
14632481431352	Inyo	Big Pine Unified	Big Pine High	0	6	0	0	0	0	3	0	0	9	1415
14632711438308	Inyo	Death Valley Unified	Death Valley High Academy	0	0	0	0	0	0	0	0	0	0	1415
14632890113241	Inyo	Lone Pine Unified	Sierra Alternative Learning Academy	0	0	0	0	0	0	0	0	0	0	1415
14632891434901	Inyo	Lone Pine Unified	Lone Pine High	2	0	0	0	0	0	1	0	0	3	1415
14632971436203	Inyo	Owens Valley Unified	Owens Valley High	0	0	0	0	0	0	0	0	0	0	1415
14766871430057	Inyo	Bishop Unified	Palisade Glacier High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
14766871430107	Inyo	Bishop Unified	Keith B. Bright High (Juvenile Hall)	0	0	0	0	0	0	0	0	0	0	1415
14766871431600	Inyo	Bishop Unified	Bishop Union High	13	3	1	0	0	0	45	8	0	70	1415
15101570119669	Kern	Kern County Office of Education	Wonderful College Prep Academy	30	0	2	0	1	0	2	0	0	35	1415
15101571530302	Kern	Kern County Office of Education	Kern County Juvenile Court	0	0	0	0	0	0	0	0	0	0	1415
15101571530310	Kern	Kern County Office of Education	Kern County Community	0	0	0	0	0	0	0	0	0	0	1415
15101571530492	Kern	Kern County Office of Education	Valley Oaks Charter	1	0	0	0	0	0	8	0	0	9	1415
15634120100529	Kern	Delano Joint Union High	Cesar E. Chavez High	107	0	4	0	21	1	4	0	0	137	1415
15634120116384	Kern	Delano Joint Union High	Robert F. Kennedy High	91	0	0	0	6	2	0	0	0	99	1415
15634121531656	Kern	Delano Joint Union High	Valley High	0	0	0	0	0	0	0	0	0	0	1415
15634121531672	Kern	Delano Joint Union High	Delano High	106	0	1	0	33	1	3	0	0	144	1415
15635290100198	Kern	Kern High	Golden Valley High	166	0	3	2	1	6	12	1	0	191	1415
